accesses get set
41156609 1.438129012e-06 8.089691696e-06
41418753 1.439041428e-06 8.122759686e-06
41680897 1.439989222e-06 8.154830164e-06
41943041 1.440878368e-06 8.184275817e-06
42205185 1.441729718e-06 8.207632574e-06
42467329 1.442585392e-06 8.236662264e-06
42729473 1.443414841e-06 8.266821434e-06
42991617 1.444261086e-06 8.301180909e-06
43253761 1.445159635e-06 8.325426806e-06
43515905 1.446037982e-06 8.354740418e-06
43778049 1.44682344e-06 8.383560911e-06
44040193 1.447614988e-06 8.415577343e-06
44302337 1.448386289e-06 8.442133096e-06
44564481 1.449120466e-06 8.477050803e-06
44826625 1.449854109e-06 8.505633906e-06
45088769 1.450606524e-06 8.530455433e-06
45350913 1.451260032e-06 8.557010077e-06
45613057 1.451898465e-06 8.583093467e-06
45875201 1.452535662e-06 8.610412444e-06
46137345 1.453181527e-06 8.636394977e-06
46399489 1.453794921e-06 8.662659811e-06
46661633 1.454425726e-06 8.688600475e-06
46923777 1.455103933e-06 8.716648122e-06
47185921 1.455783081e-06 8.7425752e-06
47448065 1.456506107e-06 8.764775102e-06
47710209 1.457184152e-06 8.788766378e-06
47972353 1.457816598e-06 8.811196561e-06
48234497 1.458459191e-06 8.834800222e-06
48496641 1.459071907e-06 8.864435288e-06
48758785 1.459690279e-06 8.886875172e-06
49020929 1.46026391e-06 8.91044482e-06
49283073 1.460798507e-06 8.93226102e-06
49545217 1.461381438e-06 8.960586729e-06
49807361 1.461972749e-06 8.98298141e-06
50069505 1.462564578e-06 9.006374258e-06
50331649 1.463153899e-06 9.028587221e-06
50593793 1.463710034e-06 9.049189335e-06
50855937 1.464209625e-06 9.069840067e-06
51118081 1.464741457e-06 9.095480933e-06
51380225 1.465228256e-06 9.118969255e-06
51642369 1.465762627e-06 9.140801908e-06
51904513 1.466285262e-06 9.16107588e-06
52166657 1.466760108e-06 9.1802658e-06
52428801 1.467300815e-06 9.207369994e-06
52690945 1.467774481e-06 9.225850517e-06
52953089 1.468239133e-06 9.246253041e-06
53215233 1.468699262e-06 9.264796947e-06
53477377 1.469095997e-06 9.290641111e-06
53739521 1.469506705e-06 9.30974843e-06
54001665 1.470081292e-06 9.340535654e-06
54263809 1.470557779e-06 9.36201735e-06
54525953 1.470973968e-06 9.380347068e-06
54788097 1.471414119e-06 9.40400453e-06
55050241 1.471807916e-06 9.422157505e-06
55312385 1.472180515e-06 9.440889945e-06
55574529 1.472541539e-06 9.464826997e-06
55836673 1.472940561e-06 9.483801917e-06
56098817 1.473352147e-06 9.500625164e-06
56360961 1.473863468e-06 9.523403806e-06
56623105 1.474338602e-06 9.539459157e-06
56885249 1.474963895e-06 9.558524891e-06
57147393 1.475818371e-06 9.581077225e-06
57409537 1.476443338e-06 9.597402302e-06
57671681 1.477037481e-06 9.618217051e-06
57933825 1.477777955e-06 9.633857346e-06
58195969 1.478388485e-06 9.649492469e-06
