time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items misses miss_rate shq_size AET_ht_size 
4900002 1 normal 800000000 0 800000000 400000000 50 65536 431966007 1.852 383177 2450000 0 0 0 0 0 0.156399 -1 2066823 2066823 0.843601 0 0 
5000002 2 normal 800000000 0 800000000 400000000 50 65536 321561757 2.48786 961428 2500001 0 0 0 0 0 0.384571 0.603188 1538573 1538573 0.615429 0 0 
5000002 1 normal 800000000 0 800000000 400000000 50 65536 439315283 1.82102 398013 2500000 0 0 0 0 0 0.159205 0.274982 2101987 2101987 0.840795 0 0 
5100002 2 normal 800000000 0 800000000 400000000 50 65536 325287809 2.45936 993600 2550001 0 0 0 0 0 0.389647 -1 1556401 1556401 0.610353 0 0 
5100002 1 normal 800000000 0 800000000 400000000 50 65536 446616280 1.79125 413080 2550000 0 0 0 0 0 0.161992 -1 2136920 2136920 0.838008 0 0 
5200002 2 normal 800000000 0 800000000 400000000 50 65536 328945518 2.43201 1026099 2600001 0 0 0 0 0 0.394653 -1 1573902 1573902 0.605347 0 0 
5200002 1 normal 800000000 0 800000000 400000000 50 65536 453860011 1.76266 428421 2600000 0 0 0 0 0 0.164777 -1 2171579 2171579 0.835223 0 0 
5300002 2 normal 800000000 0 800000000 400000000 50 65536 332566652 2.40553 1058773 2650001 0 0 0 0 0 0.399537 -1 1591228 1591228 0.600463 0 0 
5300002 1 normal 800000000 0 800000000 400000000 50 65536 461091620 1.73501 443820 2650000 0 0 0 0 0 0.167479 -1 2206180 2206180 0.832521 0 0 
5400002 2 normal 800000000 0 800000000 400000000 50 65536 336083913 2.38036 1091944 2700001 0 0 0 0 0 0.404424 -1 1608057 1608057 0.595576 0 0 
5400002 1 normal 800000000 0 800000000 400000000 50 65536 468248616 1.70849 459576 2700000 0 0 0 0 0 0.170213 -1 2240424 2240424 0.829787 0 0 
5500002 2 normal 800000000 0 800000000 400000000 50 65536 339565435 2.35595 1125286 2750001 0 0 0 0 0 0.409195 -1 1624715 1624715 0.590805 0 0 
5500002 1 normal 800000000 0 800000000 400000000 50 65536 475316996 1.68309 475756 2750000 0 0 0 0 0 0.173002 -1 2274244 2274244 0.826998 0 0 
5600002 2 normal 800000000 0 800000000 400000000 50 65536 342990736 2.33242 1158897 2800001 0 0 0 0 0 0.413892 -1 1641104 1641104 0.586108 0 0 
5600002 1 normal 800000000 0 800000000 400000000 50 65536 482328737 1.65862 492207 2800000 0 0 0 0 0 0.175788 -1 2307793 2307793 0.824212 0 0 
5700002 2 normal 800000000 0 800000000 400000000 50 65536 346343096 2.30985 1192857 2850001 0 0 0 0 0 0.418546 -1 1657144 1657144 0.581454 0 0 
5700002 1 normal 800000000 0 800000000 400000000 50 65536 489310591 1.63495 508801 2850000 0 0 0 0 0 0.178527 -1 2341199 2341199 0.821473 0 0 
5800002 2 normal 800000000 0 800000000 400000000 50 65536 349657209 2.28796 1227000 2900001 0 0 0 0 0 0.423103 -1 1673001 1673001 0.576897 0 0 
5800002 1 normal 800000000 0 800000000 400000000 50 65536 496241449 1.61212 525639 2900000 0 0 0 0 0 0.181255 -1 2374361 2374361 0.818745 0 0 
